Transaction time,opening,highest,lowest,current,amount
20201113090028_,3705,3705,3705,3705,5000
20201113090028_,3705,3705,3705,3705,912
20201113090028_,3705,3705,3705,3705,100
20201113090028_,3705,3705,3705,3705,300
20201113090028_,3705,3705,3705,3705,1000
20201113090029_,3705,3705,3705,3705,100
20201113090029_,3705,3705,3705,3705,10
20201113090029_,3700,3700,3700,3700,112260
20201113090029_,3705,3705,3705,3705,500
20201113090029_,3705,3705,3705,3705,1000
20201113090029_,3705,3705,3705,3705,50
20201113090029_,3700,3700,3700,3700,19
20201113090030_,3705,3705,3705,3705,300
20201113090030_,3700,3700,3700,3700,31662
20201113090031_,3705,3705,3705,3705,37
20201113090031_,3705,3705,3705,3705,118
20201113090031_,3700,3700,3700,3700,10
20201113090031_,3705,3705,3705,3705,1
20201113090031_,3705,3705,3705,3705,1000
20201113090031_,3705,3705,3705,3705,200
20201113090032_,3705,3705,3705,3705,2000
20201113090032_,3700,3700,3700,3700,136
20201113090032_,3705,3705,3705,3705,700
20201113090032_,3705,3705,3705,3705,6611
20201113090032_,3705,3705,3705,3705,100
20201113090032_,3700,3700,3700,3700,2500
20201113090032_,3700,3700,3700,3700,5000
20201113090032_,3705,3705,3705,3705,3
20201113090032_,3700,3700,3700,3700,21806
20201113090032_,3700,3700,3700,3700,91123
20201113090033_,3700,3700,3700,3700,100
20201113090033_,3700,3700,3700,3700,58327
20201113090033_,3700,3700,3700,3700,56000
20201113090033_,3700,3700,3700,3700,10
20201113090033_,3700,3700,3700,3700,7
20201113090033_,3700,3700,3700,3700,50
20201113090034_,3700,3700,3700,3700,200
20201113090034_,3700,3700,3700,3700,170
20201113090034_,3700,3700,3700,3700,9000
20201113090034_,3700,3700,3700,3700,50
20201113090034_,3700,3700,3700,3700,200
20201113090035_,3700,3700,3700,3700,200
20201113090035_,3700,3700,3700,3700,1500
20201113090035_,3700,3700,3700,3700,3
20201113090035_,3700,3700,3700,3700,2000
20201113090035_,3700,3700,3700,3700,100
