Transaction date,opening,highest,lowest,current,amount
20180703_,14370,14375,13995,14215,20436233
20180704_,14195,14340,14085,14130,11472976
20180705_,14110,14245,13890,14050,14395800
20180706_,14020,14380,13930,14240,19733034
20180709_,14255,14560,14160,14455,12575030
20180710_,14575,14680,14485,14510,9934214
20180711_,14280,14415,14060,14340,14236717
20180712_,14400,14575,14275,14435,9209230
20180713_,14470,14800,14455,14725,16363186
20180716_,14750,14825,14605,14630,6936472
20180717_,14625,14700,14455,14595,10699563
20180718_,14750,14880,14490,14520,9727539
20180719_,14640,14680,14430,14470,8268779
20180720_,14475,14635,14295,14595,12743940
20180723_,14580,14585,14305,14365,11340298
20180724_,14395,14495,14245,14450,8360224
20180725_,14490,14615,14360,14390,9281661
20180726_,14545,14700,14425,14560,12782208
20180727_,14630,14650,14525,14650,7204660
20180730_,14595,14675,14475,14590,7518830
20180731_,14590,14650,14515,14635,5529453
20180801_,14700,14850,14675,14740,8525754
20180802_,14710,14735,14170,14225,15608656
20180803_,14300,14440,14215,14420,8920091
20180806_,14445,14595,14385,14395,6699977
20180807_,14430,14585,14305,14585,9580043
20180808_,14625,14695,14540,14575,5878581
20180809_,14580,14610,14440,14570,7083925
20180810_,14500,14500,14185,14245,11916830
20180813_,14050,14085,13720,13880,13975483
20180814_,13870,14035,13865,14005,8612405
20180816_,13635,13795,13455,13720,14520869
20180817_,13725,13795,13655,13715,9173633
20180820_,13820,13955,13700,13740,9009074
20180821_,13735,14070,13670,14035,10536181
20180822_,14090,14210,14020,14140,8173202
20180823_,14250,14280,14095,14245,5854288
20180824_,14165,14425,14095,14370,7342077
20180827_,14490,14560,14375,14515,8530454
20180828_,14670,14710,14520,14535,9306227
20180829_,14570,14650,14520,14605,5558089
20180830_,14640,14795,14550,14630,9457919
20180831_,14480,14750,14435,14735,7816640
20180903_,14705,14725,14520,14555,5716001
20180904_,14585,14715,14505,14700,8347771
20180905_,14590,14645,14260,14310,7764542
20180906_,14265,14395,14195,14255,6008621
20180907_,14080,14205,13905,14105,12430836
20180910_,14080,14215,14055,14155,5758395
20180911_,14150,14270,13980,14080,7412542
20180912_,14100,14140,13920,14040,7414735
20180913_,14070,14150,14020,14085,7806453
20180914_,14265,14560,14265,14535,12813599
20180917_,14455,14465,14220,14295,8303193
20180918_,14090,14445,14085,14430,9562946
20180919_,14530,14545,14335,14440,6290217
20180920_,14525,14825,14490,14700,14239966
20180921_,14780,14830,14690,14830,7636083
20180927_,14750,15100,14750,15055,11365049
20180928_,15065,15085,14855,14885,5651706
20181001_,14940,15005,14750,14845,7829404
20181002_,14810,14915,14470,14480,10089960
20181004_,14520,14520,13980,14015,13723801
20181005_,13975,14085,13800,13980,13466608
20181008_,13845,14055,13840,13860,10823033
20181010_,13870,13915,13565,13670,12186422
20181011_,13000,13145,12500,12550,32570741
20181012_,12595,12975,12475,12810,25216506
20181015_,12720,12755,12555,12605,15948208
20181016_,12720,12815,12515,12555,13467149
20181017_,12850,13025,12765,12870,15985338
20181018_,12775,12850,12620,12630,10121412
20181019_,12450,12765,12305,12730,17571655
20181022_,12550,12855,12500,12795,12020968
20181023_,12595,12630,12035,12185,23408737
20181024_,12355,12355,12025,12070,15936632
20181025_,11510,11700,11335,11700,26366500
20181026_,11725,11740,11110,11320,32423422
20181029_,11420,11550,11090,11110,28528417
20181030_,11050,11475,11015,11310,24615699
20181031_,11360,11470,11160,11365,19632804
20181101_,11410,11665,11290,11295,23129852
20181102_,11565,12155,11540,12115,27541346
20181105_,11940,11970,11600,11880,22014674
20181106_,11985,12070,11780,12020,17157287
20181107_,12015,12250,11860,11920,21752053
20181108_,12285,12440,12125,12125,17901338
20181109_,12080,12200,11960,11975,13334668
20181112_,11790,12085,11750,12040,8882387
20181113_,11655,11880,11435,11855,18479527
20181114_,11865,11895,11715,11785,10802645
20181115_,11740,12055,11685,12025,12736739
20181116_,12135,12185,11975,12005,17197289
20181119_,12060,12245,11980,12090,14791674
20181120_,11795,11960,11775,11850,10451611
20181121_,11560,11765,11475,11750,13970575
20181122_,11740,11810,11665,11710,8190994
20181123_,11700,11765,11460,11550,11347857
20181126_,11600,11890,11590,11880,10241365
20181127_,11970,12100,11820,12060,11699616
20181128_,12125,12205,12015,12190,10498705
20181129_,12515,12575,12190,12245,15889216
20181130_,12290,12345,11955,12020,9891194
20181203_,12355,12500,12205,12435,20340679
20181204_,12340,12365,12035,12150,15657331
20181205_,11820,12100,11820,12000,11921764
20181206_,11885,11895,11600,11645,14621782
20181207_,11755,11835,11630,11740,10691982
20181210_,11425,11550,11340,11485,13150852
20181211_,11545,11555,11370,11430,8685710
20181212_,11520,11770,11485,11750,9478358
20181213_,11760,11950,11700,11875,12930546
20181214_,11840,11860,11360,11475,15360629
20181217_,11480,11625,11480,11555,10758771
20181218_,11365,11585,11365,11465,10051402
20181219_,11510,11640,11470,11625,7665210
20181220_,11485,11525,11260,11375,19966374
20181221_,11330,11405,11275,11370,11453969
20181224_,11310,11370,11225,11360,8095471
20181226_,11065,11200,10915,11030,19752377
20181227_,11405,11430,11280,11340,14035695
20181228_,11375,11530,11370,11445,11648225
20190102_,11605,11645,11095,11160,16302134
20190103_,11135,11180,10915,10935,17210783
20190104_,10910,11130,10865,11115,14075987
20190107_,11385,11590,11370,11445,22304129
20190108_,11440,11515,11270,11270,14168806
20190109_,11370,11825,11365,11735,23324011
20190110_,11760,11880,11675,11740,15103253
20190111_,11850,11955,11765,11910,14712308
20190114_,11835,11865,11660,11685,9103419
20190115_,11760,12170,11750,12150,18223243
20190116_,12150,12265,12070,12255,12107461
20190117_,12310,12420,12215,12310,18123619
20190118_,12410,12515,12380,12505,16177085
20190121_,12650,12670,12365,12515,13571903
20190122_,12535,12580,12290,12380,12027386
20190123_,12285,12575,12265,12515,12181810
20190124_,12515,12730,12480,12720,16288675
20190125_,12795,13230,12770,13210,22737947
20190128_,13235,13380,13110,13195,17036037
20190129_,13140,13320,13030,13320,12898885
20190130_,13345,13660,13280,13660,19102020
20190131_,13910,13925,13615,13625,18513817
20190201_,13720,13845,13555,13565,15800938
20190207_,13755,13770,13500,13570,14400745
20190208_,13410,13445,13135,13195,15284442
20190211_,13195,13215,13050,13210,10440366
20190212_,13220,13440,13185,13390,11565292
20190213_,13510,13545,13425,13505,11762469
20190214_,13405,13750,13295,13750,13918173
20190215_,13635,13645,13300,13400,15706219
20190218_,13550,13700,13485,13605,14219313
20190219_,13560,13615,13320,13475,17224875
20190220_,13610,13900,13585,13795,18596821
20190221_,13715,13900,13590,13790,17299491
20190222_,13710,13810,13645,13810,11612693
20190225_,13930,14005,13765,13860,14862011
20190226_,13855,13880,13700,13755,13874831
20190227_,13850,13910,13785,13860,11349331
20190228_,13805,13840,13390,13390,20569012
20190304_,13565,13655,13235,13260,16370513
20190305_,13150,13185,12965,13050,13469885
20190306_,13045,13045,12915,12980,10128806
20190307_,12965,13095,12795,12895,11282966
20190308_,12750,12810,12545,12550,13089002
20190311_,12590,12630,12460,12550,9341465
20190312_,12735,12860,12735,12815,11905467
20190313_,12725,12730,12440,12615,14721022
20190314_,12695,12765,12525,12700,15289581
20190315_,12635,13065,12630,12975,18051595
20190318_,13045,13080,12935,12995,9395747
20190319_,13035,13045,12880,12985,9078548
20190320_,12930,13010,12670,13010,15894190
20190321_,13055,13395,13045,13180,25798238
20190322_,13300,13385,13180,13245,14087999
20190325_,12895,12925,12710,12710,15855015
20190326_,12800,12820,12700,12725,9916790
20190327_,12715,12805,12505,12735,16273833
20190328_,12550,12670,12460,12565,13775542
20190329_,12610,12730,12525,12680,13862178
20190401_,12825,13095,12820,13060,12828161
20190402_,13125,13235,13110,13160,11332395
20190403_,13180,13555,13130,13555,17311511
20190404_,13530,13765,13510,13595,15843186
20190405_,13600,13730,13570,13650,12025068
20190408_,13765,13775,13500,13580,12400907
20190409_,13615,13760,13520,13635,11306664
20190410_,13500,13770,13500,13760,9815207
20190411_,13785,13830,13615,13705,13997382
20190412_,13670,13830,13555,13765,13140816
20190415_,13865,14020,13860,13885,17461418
20190416_,13840,14015,13825,14005,10164905
20190417_,14005,14055,13940,13980,11701232
20190418_,14010,14030,13490,13530,18135030
20190419_,13625,13690,13525,13535,10175735
20190422_,13565,13695,13405,13520,13435849
20190423_,13530,13620,13480,13580,8728964
20190424_,13685,13705,13145,13285,25813300
20190425_,13280,13365,13165,13240,10632738
20190426_,13100,13185,12940,13075,14872469
