Transaction date,opening,highest,lowest,current,amount
20190719_,7470,7485,7315,7340,24166050
20190722_,7395,7410,7310,7350,11470871
20190723_,7325,7350,7240,7280,15472416
20190724_,7310,7445,7250,7420,19779628
20190725_,7370,7530,7360,7450,22081674
20190726_,7505,7565,7475,7485,20331245
20190729_,7515,7755,7505,7715,33127873
20190730_,7670,7695,7610,7660,14381707
20190731_,7690,7870,7640,7785,36338280
20190801_,7905,7925,7750,7845,22165285
20190802_,8005,8090,7970,8020,31272062
20190805_,8110,8390,8100,8350,37915615
20190806_,8745,8790,8380,8595,43694266
20190807_,8570,8770,8520,8705,37894670
20190808_,8550,8695,8485,8630,33329595
20190809_,8495,8555,8440,8515,18121851
20190812_,8505,8565,8430,8485,17281037
20190813_,8615,8670,8555,8660,21712681
20190814_,8465,8540,8385,8515,26741264
20190816_,8675,8750,8605,8605,26385890
20190819_,8495,8565,8455,8480,13794393
20190820_,8485,8530,8285,8315,19724147
20190821_,8360,8360,8225,8275,12191918
20190822_,8290,8430,8270,8410,15918098
20190823_,8510,8510,8395,8420,19930602
20190826_,8720,8775,8635,8675,31720522
20190827_,8605,8660,8510,8615,18609070
20190828_,8560,8605,8445,8460,20308414
20190829_,8455,8590,8435,8545,19663619
20190830_,8395,8395,8190,8240,23588440
20190902_,8285,8300,8185,8225,13648388
20190903_,8285,8320,8190,8285,15481752
20190904_,8310,8315,8065,8065,22734216
20190905_,8020,8030,7790,7895,26105114
20190906_,7805,7870,7785,7830,13561481
20190909_,7790,7805,7640,7705,17926221
20190910_,7695,7715,7625,7630,14304818
20190911_,7550,7585,7495,7515,19397079
20190916_,7460,7580,7460,7470,16418639
20190917_,7475,7520,7440,7475,13263255
20190918_,7440,7505,7360,7390,15965098
20190919_,7395,7410,7230,7300,23398619
20190920_,7310,7330,7205,7220,15027579
20190923_,7240,7260,7190,7210,13994896
20190924_,7215,7260,7125,7130,15620970
20190925_,7200,7325,7180,7320,21541900
20190926_,7255,7370,7210,7300,24363062
20190927_,7350,7495,7340,7440,22820337
20190930_,7485,7520,7310,7325,20353681
20191001_,7340,7365,7225,7285,15776938
20191002_,7400,7590,7395,7590,30207511
20191004_,7640,7660,7500,7650,28317751
20191007_,7555,7685,7525,7630,20043908
20191008_,7600,7605,7405,7415,23582352
20191010_,7560,7720,7465,7525,38001144
20191011_,7395,7475,7360,7420,18317213
20191014_,7255,7285,7200,7265,18010353
20191015_,7285,7300,7230,7250,15093381
20191016_,7175,7220,7100,7170,19645039
20191017_,7155,7245,7145,7225,13111952
20191018_,7185,7370,7125,7355,24472838
20191021_,7315,7345,7275,7285,13551664
20191022_,7205,7225,7065,7085,25578649
20191023_,7125,7200,7100,7165,16714287
20191024_,7095,7260,7090,7130,16323477
20191025_,7095,7190,7085,7130,10176791
20191028_,7050,7105,7000,7070,9778189
20191029_,7015,7130,6995,7105,11672677
20191030_,7090,7230,7090,7220,15817901
20191031_,7135,7185,7020,7175,22618812
20191101_,7180,7205,7055,7060,18605827
20191104_,6955,6970,6840,6845,20248713
20191105_,6830,6855,6745,6755,13954994
20191106_,6755,6780,6665,6755,19670907
20191107_,6770,6820,6730,6765,18158006
20191108_,6690,6825,6675,6810,15112203
20191111_,6815,6940,6810,6915,16469585
20191112_,6870,6925,6790,6790,14998837
20191113_,6835,6935,6835,6905,14742064
20191114_,6885,6910,6820,6820,15723721
20191115_,6765,6800,6590,6605,26691975
20191118_,6590,6660,6590,6620,11111705
20191119_,6675,6770,6655,6675,18998805
20191120_,6745,6850,6710,6840,29623267
20191121_,6860,7085,6845,7045,38096580
20191122_,7025,7040,6955,6980,20327433
20191125_,6900,6905,6780,6830,16595975
20191126_,6800,6830,6710,6820,25224863
20191127_,6785,6885,6735,6815,16292133
20191128_,6885,6910,6820,6870,15427772
20191129_,6850,7125,6830,7105,33066016
20191202_,7025,7085,6975,7065,19314519
20191203_,7190,7260,7120,7135,31186133
20191204_,7240,7320,7215,7240,33532888
20191205_,7160,7330,7120,7270,24591944
20191206_,7210,7220,7090,7115,21121730
20191209_,7050,7100,7015,7055,19315694
20191210_,7090,7115,6975,6985,18962863
20191211_,6985,7035,6910,6930,18782892
20191212_,6830,6835,6685,6695,27303516
20191213_,6510,6530,6440,6445,26349110
20191216_,6460,6470,6410,6450,12495298
20191217_,6400,6425,6255,6275,26225134
20191218_,6270,6310,6200,6285,20900597
20191219_,6235,6330,6205,6265,16983143
20191220_,6215,6290,6215,6240,17259919
20191223_,6190,6285,6190,6245,16905545
20191224_,6230,6340,6230,6335,19492646
20191226_,6330,6375,6290,6295,16231126
20191227_,6215,6255,5985,6090,31811394
20191230_,6080,6125,6055,6115,11515679
20200102_,6115,6290,6095,6265,17038978
20200103_,6150,6340,6085,6280,29235394
20200106_,6380,6395,6325,6370,21818285
