Transaction time,opening,highest,lowest,current,amount
202005281304_,11055,11055,11030,11035,223471
202005281305_,11035,11060,11030,11050,156173
202005281306_,11045,11060,11035,11055,111413
202005281307_,11050,11065,11045,11060,153877
202005281308_,11060,11075,11060,11075,163462
202005281309_,11070,11080,11060,11080,199534
202005281310_,11080,11090,11070,11070,272204
202005281311_,11075,11080,11055,11060,250042
202005281312_,11060,11065,11050,11055,142276
202005281313_,11055,11055,11025,11025,323882
202005281314_,11025,11045,11025,11035,175965
202005281315_,11035,11050,11025,11035,202800
202005281316_,11035,11045,11005,11045,335840
202005281317_,11040,11050,11030,11040,157240
202005281318_,11040,11040,11015,11020,192672
202005281319_,11015,11020,10985,10990,354512
202005281320_,10985,11000,10980,10995,359873
202005281321_,10995,10995,10970,10975,337191
202005281322_,10980,10980,10950,10955,452199
202005281323_,10955,10960,10935,10940,561194
202005281324_,10935,10990,10935,10990,522535
202005281325_,10990,11000,10970,10985,399499
202005281326_,10990,11010,10990,11000,313315
202005281327_,11000,11005,10990,10990,187409
202005281328_,10995,11005,10990,11005,280275
202005281329_,11005,11015,11000,11010,240650
202005281330_,11010,11020,10995,11015,220478
202005281331_,11015,11025,11010,11020,196069
202005281332_,11020,11050,11020,11050,438421
202005281333_,11050,11055,11035,11045,400552
202005281334_,11045,11065,11045,11060,364606
202005281335_,11060,11065,11045,11050,198126
202005281336_,11050,11080,11045,11070,303935
202005281337_,11075,11085,11070,11080,374153
202005281338_,11075,11090,11070,11085,332602
202005281339_,11090,11090,11075,11080,196193
202005281340_,11080,11090,11060,11070,311173
202005281341_,11075,11075,11060,11070,323683
202005281342_,11070,11080,11060,11065,180813
202005281343_,11070,11090,11065,11080,435245
202005281344_,11080,11090,11070,11090,210251
202005281345_,11090,11090,11070,11075,119893
202005281346_,11075,11090,11075,11090,89534
202005281347_,11090,11095,11080,11090,187977
202005281348_,11090,11115,11090,11110,285841
202005281349_,11110,11135,11110,11135,480266
202005281350_,11140,11150,11130,11130,500841
202005281351_,11130,11135,11125,11130,328593
202005281352_,11130,11130,11110,11110,243971
202005281353_,11115,11120,11105,11110,291481
202005281354_,11110,11110,11090,11100,268757
202005281355_,11095,11100,11090,11090,71281
202005281356_,11090,11110,11090,11100,248303
202005281357_,11100,11105,11090,11090,117404
202005281358_,11090,11105,11085,11100,137479
202005281359_,11100,11115,11100,11100,227710
202005281400_,11100,11105,11055,11075,457567
202005281401_,11075,11085,11055,11060,384577
202005281402_,11060,11065,11050,11055,240190
202005281403_,11060,11060,11050,11055,117045
202005281404_,11060,11100,11055,11100,248777
202005281405_,11100,11115,11090,11115,189198
202005281406_,11115,11135,11105,11130,341927
202005281407_,11125,11130,11100,11105,295208
202005281408_,11105,11115,11085,11090,187666
202005281409_,11085,11100,11085,11090,223994
202005281410_,11090,11095,11070,11080,343154
202005281411_,11080,11115,11075,11110,166578
202005281412_,11110,11130,11110,11120,293357
202005281413_,11120,11125,11115,11120,156925
202005281414_,11120,11125,11110,11125,184255
202005281415_,11125,11125,11110,11115,143542
202005281416_,11120,11120,11105,11120,134034
202005281417_,11120,11120,11105,11105,134910
202005281418_,11110,11120,11105,11115,74182
202005281419_,11110,11120,11105,11105,97664
