Transaction time,opening,highest,lowest,current,amount
202004211310_,7210,7215,7205,7210,540099
202004211311_,7205,7225,7205,7225,331486
202004211312_,7225,7235,7220,7230,908567
202004211313_,7230,7235,7225,7230,566051
202004211314_,7230,7235,7220,7225,429823
202004211315_,7225,7260,7225,7260,1602815
202004211316_,7265,7265,7250,7260,742406
202004211317_,7265,7265,7240,7250,1385850
202004211318_,7250,7255,7240,7240,434595
202004211319_,7240,7250,7235,7245,602477
202004211320_,7245,7250,7230,7240,480908
202004211321_,7245,7250,7240,7245,352276
202004211322_,7245,7250,7220,7225,875348
202004211323_,7230,7235,7220,7225,423458
202004211324_,7220,7225,7215,7215,449699
202004211325_,7220,7220,7210,7215,327534
202004211326_,7215,7225,7215,7225,231445
202004211327_,7220,7230,7220,7220,338649
202004211328_,7220,7235,7215,7235,261065
202004211329_,7235,7235,7205,7210,718069
202004211330_,7210,7215,7190,7195,1085036
202004211331_,7195,7215,7195,7215,382867
202004211332_,7215,7220,7205,7210,688942
202004211333_,7210,7210,7195,7200,432012
202004211334_,7205,7205,7190,7195,561362
202004211335_,7195,7205,7190,7195,486218
202004211336_,7195,7195,7180,7185,732942
202004211337_,7185,7195,7180,7180,470721
202004211338_,7180,7200,7180,7200,229514
202004211339_,7195,7210,7190,7200,654767
202004211340_,7200,7205,7195,7205,285870
202004211341_,7205,7205,7190,7190,372449
202004211342_,7195,7210,7195,7210,498998
202004211343_,7210,7210,7195,7205,225985
202004211344_,7205,7210,7195,7210,365052
202004211345_,7210,7210,7195,7200,469993
202004211346_,7200,7200,7195,7195,227239
202004211347_,7195,7210,7190,7190,568689
202004211348_,7185,7190,7175,7180,729166
202004211349_,7180,7190,7180,7185,220432
202004211350_,7190,7190,7175,7180,276705
202004211351_,7180,7195,7175,7190,347395
202004211352_,7190,7195,7180,7190,471886
202004211353_,7190,7195,7185,7195,237755
202004211354_,7195,7195,7175,7180,519335
202004211355_,7180,7195,7180,7190,379956
202004211356_,7190,7205,7190,7205,428594
202004211357_,7200,7205,7195,7200,222010
202004211358_,7200,7200,7190,7195,262314
202004211359_,7195,7205,7190,7205,295565
202004211400_,7205,7210,7190,7200,523777
202004211401_,7200,7205,7190,7205,352656
202004211402_,7205,7220,7200,7220,569953
202004211403_,7220,7225,7215,7220,448686
202004211404_,7220,7220,7205,7210,323277
202004211405_,7210,7220,7210,7215,655770
202004211406_,7215,7225,7210,7225,409628
202004211407_,7225,7230,7215,7225,611505
202004211408_,7225,7225,7215,7220,290022
202004211409_,7215,7220,7205,7210,399430
202004211410_,7210,7230,7210,7225,256579
202004211411_,7225,7225,7210,7215,330971
202004211412_,7215,7220,7205,7215,331552
202004211413_,7215,7220,7200,7200,253538
202004211414_,7200,7205,7185,7190,688752
202004211415_,7195,7200,7185,7195,791237
202004211416_,7190,7195,7180,7185,433743
202004211417_,7185,7190,7180,7185,167354
202004211418_,7185,7185,7165,7165,947574
202004211419_,7170,7175,7160,7165,709404
202004211420_,7165,7170,7150,7165,1182953
202004211421_,7165,7175,7165,7170,452644
202004211422_,7170,7185,7165,7180,442485
202004211423_,7180,7185,7170,7170,304315
202004211424_,7170,7185,7165,7185,395341
202004211425_,7180,7195,7180,7195,375031
202004211426_,7190,7205,7185,7200,930209
202004211427_,7195,7200,7185,7190,656105
202004211428_,7190,7200,7190,7195,467732
202004211429_,7195,7195,7185,7185,393079
202004211430_,7190,7205,7190,7195,793466
